todo_id,repository,file,section_or_line,exact_marker,short_description,category,scientific_significance,dependency,blocking_gate,priority,action_required,evidence_required,current_status,resolution,resolution_commit,target_milestone,release_blocking,manuscript_blocking,sprint,notes
TODO-PRO-001,public_attacks,docs/protocol/reliability_policy_v0.1.md,Citation,krippendorff2018content,Reliability policy citation,RESOLVABLE_NOW_CITATION,high,same as MAN-011,none,P1,Cite Krippendorff 2018,Book metadata,resolved,Citation inserted; bands confirmed against Krippendorff,,sprint1,false,false,SPRINT 1,
TODO-PRO-002,public_attacks,docs/protocol/reliability_policy_v0.1.md,Minimum sample,small_corpus_threshold_defined,Define small-corpus double-coding threshold,RESOLVABLE_NOW_METHOD,high,none,none for definition,P1,Write threshold into policy,Protocol decision,resolved,Defined ≤15 L1 and ≤250 PEs,,sprint1,false,false,SPRINT 1,
TODO-SRC-001,public_attacks,docs/sources/unresolved_blockers.md,P5/CF-02,PILOT_SOURCE_NO_GO,CF-02 authorized full text missing,BLOCKED_BY_SOURCE_ACCESS,critical,access track,complete_pilot_source_gate,P0,Obtain authorized text or formal CMIST L1 amendment,Authorized file+checksum,blocked,active_blocker,,sprint2,true,true,SPRINT 2,Also blocks benchmark calibration
TODO-SRC-002,public_attacks,data/corpus/document_registry.csv,DOC-CF02-01,uncertain_pending_full_text,CF-02 L1 / CMIST ops pin,BLOCKED_BY_SOURCE_ACCESS,critical,SRC-001,benchmark_calibration_gate,P0,Pin L1 after access/amendment,Identity+text,blocked,active_blocker,,sprint2,true,true,SPRINT 2,
TODO-SRC-003,public_attacks,docs/sources/version_supersession_log.md,CF-15,PA-SRC-001,CF-15 derogation/supersession revisit,BLOCKED_BY_CORPUS_FREEZE,high,legal/version check,corpus_freeze_gate,P1,Decide include/exclude/update before freeze,BOE/RD 524/2023 review,blocked,registered,,sprint2,true,false,SPRINT 2,
TODO-SRC-004,public_attacks,docs/sources/dossiers/P4_CF13.md,fascicules,ready_with_conditions,PPMS fascicules missing,BLOCKED_BY_SOURCE_ACCESS,medium,optional companions,corpus_freeze_gate if needed for eligibility,P2,Acquire or exclude companions,Archive/official fetch,blocked,registered,,sprint2,false,false,SPRINT 2,
TODO-SRC-005,public_attacks,data/corpus/document_registry.csv,placeholder L1 rows,TBD/placeholder_unverified,CSTAG REMS PEEP CPTED L1 identity holds,BLOCKED_BY_CORPUS_FREEZE,high,identity verification,corpus_freeze_gate,P1,Resolve or exclude each placeholder L1 before freeze,Citable title/edition/issuer,blocked,registered,,sprint2,true,false,SPRINT 2,
TODO-FRZ-001,public_attacks,docs/protocol/go_nogo_report.md,Decision,NO-GO,Corpus freeze blocked,BLOCKED_BY_CORPUS_FREEZE,critical,SRC-001 + pilot B + holds,corpus_freeze_gate,P0,Clear freeze register blockers,go_nogo checklist,blocked,active_blocker,,sprint4,true,true,SPRINT 4,
TODO-PIL-001,public_attacks,data/pilot/PILOT_STATUS.txt,COMPLETE_PILOT,INCOMPLETE,Complete pilot incomplete,BLOCKED_BY_SOURCE_ACCESS,critical,Phase B,complete_pilot_source_gate,P0,Complete Phase B after CF-02,Phase B coding,blocked,active_blocker,,sprint3,true,true,SPRINT 2/3,
TODO-PIL-002,public_attacks,data/pilot/PILOT_STATUS.txt,EMPIRICAL_INTERCODER,not_computed,No empirical α,BLOCKED_BY_INDEPENDENT_CODING,high,EXP-01/02 humans,independent coding,P1,Run independent double-coding,≥2 independent humans,blocked,active_blocker,,sprint3,false,true,SPRINT 3,
TODO-COD-001,public_attacks,data/gates/gate_register.csv,full_coding_gate,NO_GO,Full coding blocked,BLOCKED_BY_CORPUS_FREEZE,critical,freeze+prereg,full_coding_gate,P0,Unlock after freeze/prereg,Gate criteria,blocked,active_blocker,,sprint5,true,true,SPRINT 5,
TODO-PRE-001,public_attacks,docs/protocol/preregistration_readiness_checklist.md,Registry ID,not issued,No preregistration ID,BLOCKED_BY_PREREGISTRATION,critical,freeze readiness,preregistration,P1,Register after freeze package ready,OSF/AsPredicted/etc ID,blocked,active_blocker,,sprint4,false,true,SPRINT 4,Do not invent ID
TODO-REL-001,public_attacks,CITATION.cff,version,0.4.0,CITATION version sync,RESOLVABLE_NOW_METADATA,low,release,none,P4,Synced in v0.4.0,Tag v0.4.0,resolved,Updated to 0.4.0 at release,,sprint1,false,false,SPRINT 1,Already done in prior release
TODO-EXP-001,public_attacks,experiments/README.md,maturity,internally_tested_synthetic,Human EXP not executed,BLOCKED_BY_ETHICS_APPROVAL,medium,ethics checklist,ethics,P3,Ethics then recruit for EXP-01/02,Approval+consent,blocked,registered,,sprint3,false,false,SPRINT 3,Synthetic OK for v0.4.0
TODO-EXP-002,public_attacks,experiments/experiment_register.csv,all EXP,human_execution_not_started,All EXP human not started,INTENTIONAL_PLACEHOLDER,medium,ethics,ethics,P3,Execute after ethics,Human data,blocked,intentional_designed_state,,sprint3,false,false,SPRINT 3,
TODO-MAN-017,private_paper,EDITORIAL_NOTES.md,checklist,multiple open items,Editorial checklist remains,BLOCKED_BY_EMPIRICAL_RESULTS,medium,multiple gates,multiple,P2,Track via this register,Various,blocked,registered_in_master,,sprint6,false,true,SPRINT 6,EDITORIAL only
TODO-VAL-001,public_attacks,docs/todo/,validator,validate_todos.py,TODO marker validator,RESOLVABLE_NOW_VALIDATION,high,register,none,P0,Implement allowlisted scanner,tests,resolved,validate_todos.py + tests,,sprint1,true,false,SPRINT 1,
TODO-BLD-001,private_paper,main.tex,build modes,submissionready,Submission build must fail on placeholders,RESOLVABLE_NOW_EDITORIAL,high,none,submission,P2,Add ifsubmissionready gate,Build flag,resolved,Development vs submission modes; submissionready remains false,,sprint1,false,false,SPRINT 1,submissionready remains false
