participant_id,case_id,measure_present,measure_type,prescriptive_force,demand_alert_perception,demand_alert_perception_source,demand_instruction_comprehension,demand_instruction_comprehension_source,demand_decision_making,demand_decision_making_source,demand_emergency_communication,demand_emergency_communication_source,demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_movement,demand_inhibitory_movement_source,demand_behavioural_sensory_regulation,demand_behavioural_sensory_regulation_source,demand_physical_execution,demand_physical_execution_source,demand_temporal_endurance,demand_temporal_endurance_source,demand_responder_interaction,demand_responder_interaction_source,support_present,support_demand_link,executability_rung,executability_locus,branch_b_out_of_scope,confidence_1_to_5,perceived_difficulty_1_to_5,pass_type,experiment_id,dataset_role
SYN-CODER-A,C02-11,1,other,required,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,5,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-12,1,other,optional,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,5,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-13,1,other,optional,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-14,1,other,required,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,setting,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-15,1,procedural_response,required,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-16,1,communication_alerting,recommended,0,,0,,1,entailed,1,explicit,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-17,1,procedural_response,required,0,,0,,0,,0,,0,,1,entailed,0,,0,,0,,1,explicit,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-18,1,procedural_response,optional,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-19,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,0,not_specified,1,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-20,1,training_drill,recommended,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-21,1,procedural_response,recommended,0,,0,,0,,0,,0,,0,,0,,1,entailed,0,,0,,1,1,2,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-22,1,procedural_response,recommended,1,explicit,1,entailed,0,,0,,0,,0,,0,,1,explicit,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-23,1,training_drill,unspecified,0,,0,,0,,0,,0,,0,,0,,1,explicit,0,,0,,1,1,5,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-24,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,0,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-25,1,procedural_response,required,0,,0,,0,,0,,0,,1,entailed,0,,0,,1,explicit,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-26,1,training_drill,recommended,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,unlinked,2,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-27,1,communication_alerting,optional,1,entailed,0,,0,,0,,0,,0,,0,,1,entailed,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-28,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,0,not_specified,1,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-29,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,0,not_specified,1,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-30,1,training_drill,recommended,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,4,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-31,1,training_drill,recommended,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-32,1,procedural_response,recommended,0,,0,,0,,0,,0,,0,,0,,1,explicit,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
