case_id,reference_label,not_true_answer,measure_present,measure_type,prescriptive_force,demand_alert_perception,demand_instruction_comprehension,demand_decision_making,demand_emergency_communication,demand_inhibitory_acoustic,demand_inhibitory_movement,demand_behavioural_sensory_regulation,demand_physical_execution,demand_temporal_endurance,demand_responder_interaction,demand_alert_perception_source,demand_instruction_comprehension_source,demand_decision_making_source,demand_emergency_communication_source,demand_inhibitory_acoustic_source,demand_inhibitory_movement_source,demand_behavioural_sensory_regulation_source,demand_physical_execution_source,demand_temporal_endurance_source,demand_responder_interaction_source,support_present,support_demand_link,executability_rung,executability_locus,branch_b_out_of_scope,analysis_scope,rationale,disagreement_interest,experiment_id
C02-23,REFERENCE_ADJUDICATION,true,1,training_drill,unspecified,0,0,0,0,0,0,0,1,0,0,,,,,,,,explicit,,,1,1,5,subgroup,0,branch_a_executability,illustrative revision case,plausible_alternative,EXP-02
C02-24,REFERENCE_ADJUDICATION,true,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,0,not_specified,0,branch_a_executability,no measure,rule_application,EXP-02
C02-25,REFERENCE_ADJUDICATION,true,1,procedural_response,required,0,0,0,0,0,1,0,0,1,0,,,,,,entailed,,,explicit,,0,not_applicable,1,not_specified,0,branch_a_executability,endurance,rule_application,EXP-02
C02-26,REFERENCE_ADJUDICATION,true,1,training_drill,recommended,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,unlinked,2,subgroup,0,branch_a_executability,PAI mention provisional support,benchmark_dependent,EXP-02
C02-27,REFERENCE_ADJUDICATION,true,1,communication_alerting,optional,1,0,0,0,0,0,0,1,0,0,entailed,,,,,,,entailed,,,0,not_applicable,1,not_specified,0,branch_a_executability,optional procedures,rule_application,EXP-02
C02-28,REFERENCE_ADJUDICATION,true,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,0,not_specified,1,out_of_scope_branch_b_material_noted,Branch B baseline — out of Branch A,out_of_scope_branch_b,EXP-02
C02-29,REFERENCE_ADJUDICATION,true,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,0,not_specified,1,out_of_scope_branch_b_material_noted,specialist participation Branch B,out_of_scope_branch_b,EXP-02
C02-30,REFERENCE_ADJUDICATION,true,1,training_drill,recommended,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,4,not_specified,0,branch_a_executability,provisional rung 4; trauma consideration not named support,benchmark_dependent,EXP-02
C02-31,REFERENCE_ADJUDICATION,true,1,training_drill,recommended,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,vague quiet → no inhibitory=1; memo only,ambiguous_memo_case,EXP-02
C02-32,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,0,0,0,0,0,1,0,0,,,,,,,,explicit,,,0,not_applicable,1,not_specified,0,branch_a_executability,motor demand,rule_application,EXP-02
