coder_id,coding_round,codebook_version,pe_id,measure_type,prescriptive_force,demand_alert_perception,demand_alert_perception_source,demand_alert_perception_trigger,demand_instruction_comprehension,demand_instruction_comprehension_source,demand_instruction_comprehension_trigger,demand_decision_making,demand_decision_making_source,demand_decision_making_trigger,demand_emergency_communication,demand_emergency_communication_source,demand_emergency_communication_trigger,demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_acoustic_trigger,demand_inhibitory_movement,demand_inhibitory_movement_source,demand_inhibitory_movement_trigger,demand_behavioural_sensory_regulation,demand_behavioural_sensory_regulation_source,demand_behavioural_sensory_regulation_trigger,demand_physical_execution,demand_physical_execution_source,demand_physical_execution_trigger,demand_temporal_endurance,demand_temporal_endurance_source,demand_temporal_endurance_trigger,demand_responder_interaction,demand_responder_interaction_source,demand_responder_interaction_trigger,support_present,support_demand_link,executability_rung,executability_locus,detection_mechanism_present,baseline_interpretation_addressed,specialist_participation,false_positive_safeguard,conflict_acknowledged,conflict_resolution_offered,qualitative_memo,adjudication_status,adjudicated_value,pilot_phase,sample_role,pilot_flag,inference_flag,benchmark_flag,protocol_flag,analysis_scope,coder_pass_type
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-01,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Bundle of plan lifecycle duties kept as one PE; could split — unitization stress.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-02,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Cross-referenced efficacy maintenance; not yet drill detail.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-03,training_drill,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,4,not_specified,,,,,0,0,Annual simulacros with evaluation of results → rung 4; revision-from-findings not explicit in-unit → not rung 5. PROVISIONAL/benchmark-dependent for AFN specificity. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-04,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,setting,,,,,0,0,"Catalog threshold differentiates disability-destined teaching establishments (no size threshold) vs other teaching establishments (height/occupancy). Setting differentiation present; no PE-level support for evacuation executability. | ADJUDICATION: disagreed on support_present,executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-05,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Revision obligation without requiring evidence-from-executability-tests → rung 1 not 5. SOURCE NOTE: consolidado HTML states Norma derogada efectiva 11 Jul 2023 (RD 524/2023); Phase A uses original BOE PDF identity already registered — freeze must revisit supersession.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-06,training_drill,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Staff training on plan content; not occupant drill executability test.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF15-07,procedural_response,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,"'en la medida de sus capacidades' is not a named support; do not inflate to rung 2. Capability phrase logged as codebook ambiguity (staff capacity ≠ functional-diversity supports). | ADJUDICATION: disagreed on support_present,executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-01,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,setting,,,,,0,0,PPMS possession/organisation obligation; archive HTML location by heading.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-02,training_drill,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,4,setting,,,,,0,0,Required biannual PPMS exercises → rung 4 candidate (realistic practice). Inclusivity sentence is separate PE. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-03,training_drill,recommended,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,unlinked,2,subgroup,,,,,0,0,"PROVISIONAL: PAI mention treated as named individual plan support during exercises → support=1 but unlinked to a specific demand; rung 2. Generic 'attention particulière' alone would be 0 — here PAI anchors. Benchmark calibration needed vs CF-02 function-based language. | ADJUDICATION: disagreed on support_present,executability_rung; retained A; see disagreement_log.",resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-04,training_drill,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Constraints on exercise realism; not itself a protective-action support for diverse needs.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-05,other,optional,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,5,not_specified,,,,,0,0,PROVISIONAL: REX may feed updates → rung 5 with optional force. Alternative coding: rung 1 because not required. Benchmark-dependent whether optional learning loops count as rung 5. | ADJUDICATION: disagreed on executability_rung; retained A; see disagreement_log.,resolved,retained_coder_A_with_provisional_flags_where_noted,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-06,other,required,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,not_applicable,1,setting,,,,,0,0,Per-site PPMS/exercises; differentiation by site not by functional need.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
adjudicator,phase_a_adjudicated,0.1.0,PE-OPA-CF13-07,communication_alerting,optional,1,entailed,signal d’alarme,1,entailed,follow common procedures,0,,,0,,,0,,,0,,,0,,,1,entailed,cheminements / mise en sécurité,0,,,0,,,0,not_applicable,1,not_specified,,,,,0,0,Optional identification of common procedures; demands entailed if procedures used.,none,no_disagreement,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY,branch_a_executability,adjudication
